(Do Not Modify) Expenses,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,Cost Center,Expense Status,Start Date,End Date,Approver Name,Comments
c880d1ba-9a7f-f011-b4cb-000d3a9e9b54,JhijSWN5WriqHXgCaYyQ096jJo/Jmog1iZoO8oPTPaPtPRVluM7sRQxoD2gJhEEMYmGWo4eKqhckpC3SjOWxRw==,2025-08-26 05:25:38,Client Sales Meeting,Contoso HR,Approved,2025-08-13 07:00:00,2025-08-13 07:00:00,stabor@thepoweraddicts.onmicrosoft.com,"Met with customer for lunch
Can you share a clear picture of receipt"
a39a4b71-ac7f-f011-b4cb-000d3a9e9b54,3kJvrpvTXfVGnkegOsONvqFIBLF45abd1YBdXeif7ONRzR6c7YoKQWLszCTs1H3FytH7Z+HWqUoB+lD/U/HhFw==,2025-08-23 00:12:50,Conference travel,Contoso IT,Pending,2025-08-14 07:00:00,2025-08-18 07:00:00,rdorrani@thepoweraddicts.onmicrosoft.com,"This expense report is for conference travel
Rasika: Can you add full breakout of all your meals"
f033b387-aa82-f011-b4cb-6045bdda1d16,YYlmRq/Sq4zy1vabFry2UWeEfLLWhQ5+CffpF0CZ3iGXjWh4d53lqoLZfyqIqjqoLW0ykUqimbAz7Bt661yMFA==,2025-08-31 08:04:16,Contoso Executive meeting,Contoso Engineers,Open,2025-08-26 00:00:00,2025-08-26 00:00:00,rdorrani@thepoweraddicts.onmicrosoft.com,Expense report for Contoso Executive meeting
f97ae4ae-ab82-f011-b4cb-6045bdda1d16,CGq1kWsU4aHTgrInD/jzXDrGNd3qDbl0XqebnvetYk/9jxWs1iUe62ZwLiSmNJaBYKqFtUY2jdrSndbpqSCSnA==,2025-08-31 08:04:29,Contoso team building event,Contoso Engineers,Open,2025-08-26 18:36:32,2025-08-26 18:36:32,rdorrani@thepoweraddicts.onmicrosoft.com,Expenses for team building event
30d986a4-3482-f011-b4cb-6045bdda1d16,I6UN8pBo9DIRVIhkImC4jP0vWelo6wYZyR2aOHHj86hnac7AqMPbmxm9N6pFCI1dpgWcxLBCc9dfCgTaOHTXcA==,2025-08-26 04:34:36,Team Lunch,Contoso HR,Pending,2025-08-25 07:00:00,2025-08-25 07:00:00,stabor@thepoweraddicts.onmicrosoft.com,total cost for team lunch for 10 team mates
,,2025-09-03 04:16:31,Executive Leadership Retreat,Contoso Finance,Approved,2025-10-31 00:00:00,2025-11-10 00:00:00,stabor@thepoweraddicts.onmicrosoft.com,Expense related to operational needs
,,2025-09-03 04:16:31,New Hire Orientation Program,Contoso IT,Open,2025-02-19 00:00:00,2025-02-27 00:00:00,rdorrani@thepoweraddicts.onmicrosoft.com,Budget allocated from Q1
,,2025-09-03 04:16:31,Employee Wellness Initiative,Contoso Finance,Pending,2025-02-15 00:00:00,2025-02-22 00:00:00,stabor@thepoweraddicts.onmicrosoft.com,Approved for project work
,,2025-09-03 04:16:31,Quarterly Marketing Campaign,Contoso IT,Pending,2025-06-07 00:00:00,2025-06-13 00:00:00,rdorrani@thepoweraddicts.onmicrosoft.com,Planned team engagement event
,,2025-09-03 04:16:31,Cybersecurity Awareness Program,Contoso Finance,Pending,2025-09-06 00:00:00,2025-09-08 00:00:00,stabor@thepoweraddicts.onmicrosoft.com,Planned team engagement event
,,2025-09-03 04:16:31,Travel Expenses for Sales Meeting,Contoso Engineers,Approved,2025-07-14 00:00:00,2025-07-15 00:00:00,rdorrani@@thepoweraddicts.onmicrosoft.com,Travel and accommodation included
,,2025-09-03 04:16:31,Network Equipment Purchase,Contoso Engineers,Pending,2025-04-04 00:00:00,2025-04-05 00:00:00,rdorrani@@thepoweraddicts.onmicrosoft.com,Travel and accommodation included
,,2025-09-03 04:16:31,Annual Compliance Training,Contoso Engineers,Pending,2025-06-21 00:00:00,2025-06-24 00:00:00,rdorrani@@thepoweraddicts.onmicrosoft.com,Approved for project work
,,2025-09-03 04:16:31,Server Hardware Maintenance,Contoso HR,Pending,2025-09-11 00:00:00,2025-09-16 00:00:00,stabor@thepoweraddicts.onmicrosoft.com,Budget allocated from Q1
,,2025-09-03 04:16:31,New Office Setup Costs,Contoso Finance,Approved,2025-03-02 00:00:00,2025-03-06 00:00:00,stabor@thepoweraddicts.onmicrosoft.com,Budget allocated from Q1
,,2025-09-03 04:16:31,Business Continuity Planning,Contoso Finance,Approved,2025-06-07 00:00:00,2025-06-14 00:00:00,stabor@thepoweraddicts.onmicrosoft.com,Includes training and certification costs
